barcode,created,short_desc,total_sold
4804888019545,2023/01,WASHED SUGAR 225G,21
4902430495073,2023/01,SAFEGUARD  WHITE 85G,39
4800361415347,2023/01,NESCAFE ORIGINAL TWIN by 10,57
4800888151704,2023/01,CLEAR SHAMPOO MENTHOL MEN  12ML,33
4902430708241,2023/01,ARIEL PASSION PWD PROMO 6+1,81
4902430346184,2023/01,DOWNY ANTIBAC 38ML BY6,52
4902430344876,2023/01,DOWNY ANTIBAC 25ML BY6,36
4800365671268,2023/01,SNACKERS NACHOS CHEESE 500G,75
4800047841729,2023/01,ZONROX COLORSAFE 225ML,24.5
16,2023/01,16,48
4808888201115,2023/01,COLGATE TBRUSH CLASSIC,18
4800361344951,2023/01,TWINPOPS Orange 32x75ml,23
4801958391105,2023/01,CRISPY FRY SPICY 1KG,16
4801288850082,2023/01,THOSE DAYS WINGS 8S,38
4800249006636,2023/01,SAN MARINO CHILI CORNED TUNA 150G,36
95509433,2023/01,Marlboro Black FT20s,135.5
20,2023/01,20,20
748485701370,2023/01,555 TUNA SPICY CALDERETA 155G,27.5
18,2023/01,18,18
4806506319563,2023/01,GENERIC LAMPEIN L 15,98
95,2023/01,95,95
20,2023/01,20,20
4800024558268,2023/01,TODAYS MIXED FRUITS 8732G,85
4800361061322,2023/01,NESTLE All-Purpose Cream 250ML,148
4806500807028,2023/01,MAGIC DRI CLOTH XXL10,98
SC6,2023/01,SHAMPOO/CONDITIONER RETAIL ASST,32.5
4806506318863,2023/01,SISTERS NET SIDE NIGHT 8,28
65,2023/01,65,65
M COKE,2023/01,COKE MISMO,170
STRAW,2023/01,STRAW SOFTDRINKS,18
4806501706115,2023/01,CHAMPION BAR SPRSCLN WHITE 145,10
4800047840029,2023/01,ZONROX ORIGINAL 500ML,23
4800888183804,2023/01,SURF PWD ROSE 75G BY6,37
4902430346177,2023/01,DOWNY SUNRISE FRESH 38ML BY6,52
40329055,2023/01,CAMEL CIG,176
4806500807424,2023/01,MAGIC DRI CLOTH XL10,92
4902430720175,2023/01,PAMPERS COMFORT REGULAR L12,118
5,2023/01,5,10
4808647010064,2023/01,CHEEZ WHIZ PIMIENTO 440G,175
4800575144590,2023/01,ALASKA POWDER 300G,90
4800016012365,2023/01,GT PREMIUM STICK BAG,57
4809015790335,2023/01,BABY ANNE PANTS MEDIUM 30,173
4800888136688,2023/01,SURF BAR BLOSSOM FRESH 360G,26
4800888151841,2023/01,SURF PWD S.FRESH 65G BY 6,37
8850006493014,2023/01,PALMOLIVE SH INTENSIVE BY12,66
4902430453295,2023/01,DOWNY G BLOOM 24ML BY6,36
4800045310241,2023/01,SMART DISH KALAMANSI 200G,23
4800047840029,2023/01,ZONROX ORIGINAL 500ML,23
8851717200007,2023/01,DUTCHMILL YOUGURT STRAW 90ML,46
4800016661006,2023/01,ROLLER COASTER CHEDDAR 24gx100,14
4800016644801,2023/01,PIATTOS CHEESE 40gx80,29
4800194116237,2023/01,POTATO FRIES PLAIN 21G,12
4800016635526,2023/01,PIATTOS SALTED POTATO NEW GRAM,7
748485800035,2023/01,ARGENTINA C.BEEF 260G,55
4806502720615,2023/01,GARDENIA CLASSIC 600g,82
4805885172004,2023/01,RENO LIVER BIG,60
C18,2023/01,CURLS ASST 18,37
4800016087691,2023/01,MAGIC FLAKES PLAIN 10+1 (28GX11X40),52
4800092110023,2023/01,HANSEL MOCHA,53
4800361410816,2023/01,BEAR BRAND Powdered Milk Drink Swak by 8,78
4800361388771,2023/01,BEAR BRAND Powdered Milk Drink 680G,265
10,2023/01,10,10
7622300761363,2023/01,OREO MINI CHOCO CUP,35
4800016021169,2023/01,GT ORIGINAL 3-IN-1 TWIN PACK (33GX10X24),82
4800552888059,2023/01,CHIPS DELIGHT 80G,58
4800092112317,2023/01,HANSEL CRACKERS,53.5
4806516761888,2023/01,JERSEY COND MILK 390G,86
48039871,2023/01,WINSTON LIGHT,126
4800016680540,2023/01,JNJ-CALBEE POT.CHPS HONEY BTR 22gX80,43.5
748485401508,2023/01,BIRCHTREE POWDER 300G,91
5,2023/01,5,5
4800010961256,2023/01,CLOD 9 CLASSIC 28G,88
22,2023/01,22,22
5,2023/01,5,5
20,2023/01,20,20
4800888139283,2023/01,CREAMSILK HAIR FALL 11ML BY12,37
4808888004174,2023/01,PALMOLIVE GREEN by 12,61
60,2023/01,60,60
4800888169709,2023/01,SUNSILK STRONG & LONG 13ML BY12,33
K7,2023/01,KAPE/MILK/OTHER BEVERAGE,28
TP10,2023/01,TOOTHPASTE ASST 11,11
BS18,2023/01,BODY SOAP ASST,19.5
RX8,2023/01,REXONA RETAIL 8,16
48041812,2023/01,MIGHTY GREEN FLIPTOP,107
748485401492,2023/01,BIRCHTREE FORTIFIED 33G by 8,68
K10,2023/01,KAPE/MILK/OTHER BEVERAGE,20
4806501709109,2023/01,CALLA POWDER 45G BY 6,33
4800047840296,2023/01,ZONROX LEMON 100ML,10
K16,2023/01,KAPE/MILK/OTHER BEVERAGE,80
20,2023/01,20,20
25,2023/01,25,25
748485804064,2023/01,ARGENTINA GINILING 250G,42
4800092332296,2023/01,MILKEE CHOCO COATED POLVORON,75
